HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,LAT,LONG,NAME
79864769,Private room,Lexington,3,5,2,1,65,37.982105,-84.491364,Private Living Area & Guestroom near UK & Downtown
37101207,Entire home/apt,Lexington,14,5,10,3,152,37.982128,-84.562099,The Ugly Duckling-Lovely inside-Room for 2-10!
36886752,Entire home/apt,Lexington,48,5,6,3,145,37.982625,-84.556981,Stay warm in December at The Happy Mallard!
9983682,Entire home/apt,Lexington,76,5,16,4,140,37.985245,-84.582735,Your Home Away from Home
74690112,Entire home/apt,Lexington,2,0,4,1,115,37.986256,-84.430734,Nice Cozy Apartment Closer Horse Park in Lexington
85378099,Private room,Lexington,0,0,2,1,30,37.986519,-84.495669,Cozy private room in quiet scenic neighorhood
16351166,Private room,Lexington,13,5,2,1,75,37.986523,-84.404767,"Quiet,Clean & Convenient"
45527537,Entire home/apt,Lexington,0,0,8,4,400,37.986657,-84.584884,"4Br, 2.5baths, good neighborhood"
10350531,Entire home/apt,Lexington,4,5,7,2,225,37.987621,-84.488787,Updated Family Home
16906263,Entire home/apt,Lexington,1,0,8,2,300,37.987911,-84.439119,Welcome to Lexington!
2189334,Entire home/apt,Lexington,0,0,2,1,48,37.988156,-84.514178,Simple furnished apartment
46564735,Entire home/apt,Lexington,12,5,6,3,195,37.988751,-84.438895,Cozy 2 Story. Lexington. Lake View!
24653106,Private room,Lexington,0,0,2,1,40,37.989688,-84.399268,Private Room- luxurious kitchen
96443651,Entire home/apt,Lexington,5,5,10,5,235,37.990451,-84.373192,Full house & farm on edge of SE Lexington.
103104686,Entire home/apt,Lexington,0,0,10,5,303,37.990455,-84.442782,Prime 5BR Lexington House On Lake Ellerslie!
25270687,Entire home/apt,Lexington,0,0,4,2,500,37.990908,-84.493996,2 Bedroom Apt for Breeders Cup
47110817,Entire home/apt,Lexington,0,0,2,1,120,37.99109,-84.398987,1BR/1BA Near Hamburg Pavilion and Jacobson Park
44447810,Private room,Lexington,0,0,4,1,250,37.991588,-84.500144,Breeders Cup 2015 Condo Rental
101745118,Private room,Lexington,2,0,2,1,31,37.991609,-84.457492,Private room
37101207,Entire home/apt,Lexington,10,5,6,3,150,37.992109,-84.449792,Tranquil Townhome - Roomy 3 Bedroom
103104686,Entire home/apt,Lexington,0,0,13,5,379,37.992137,-84.445014,5BR Lexington House Right On Lake Ellerslie!
35431782,Private room,Lexington,3,4.5,1,1,42,37.992354,-84.48731,Private Room close to UK
105260453,Private room,Lexington ,4,5,2,1,36,37.992979,-84.585607,Upscale Two Bedroom Apartment
35431782,Private room,Lexington,10,5,1,1,42,37.994075,-84.487217,Quiet home close to University of Kentucky
43704581,Entire home/apt,Lexington,0,0,6,3,1200,37.994804,-84.509988,Lexington home for the Breeders Cup
55129785,Entire home/apt,Lexington,14,5,2,1,75,37.995134,-84.4804,A Quiet Place - Close to everything!
44267585,Entire home/apt,Lexington,14,5,6,3,300,37.996809,-84.496827,Home in the Heart of the Bluegrass
22476167,Private room,Lexington,1,0,2,1,185,37.996841,-84.502553,Huge King Suite for Keeneland & More
36723128,Entire home/apt,Lexington,0,0,4,2,475,37.997043,-84.493116,Lansdowne condo avail Breeders Cup
55485288,Entire home/apt,Lexington,24,5,12,4,200,37.998176,-84.397645,"Spacious, cozy home for you!"
34434015,Entire home/apt,Lexington,3,4.5,8,4,135,37.999017,-84.470876,Sawyer Chateau
45151784,Private room,Lexington,0,0,4,1,450,37.999456,-84.595923,Fran Lynch
69866559,Private room,Lexington,26,5,5,1,66,37.999579,-84.414033,Southern Comfort
41090018,Entire home/apt,Lexington,2,0,8,3,500,38.000228,-84.498569,The Raven House
55448217,Entire home/apt,Lexington,0,0,12,5,350,38.000431,-84.568062,"3,500 sq. ft. Home in Perfect Location"
45312914,Entire home/apt,Lexington,0,0,4,2,425,38.000563,-84.567534,Close to the Breeders Cup Lexington
73930302,Entire home/apt,Lexington,19,5,4,2,70,38.001231,-84.396971,2 bedroom 2 bath home
42129460,Entire home/apt,Lexington,0,0,6,4,1100,38.001391,-84.583344,BREEDERS' CUP-4 Miles to Keeneland
27500389,Entire home/apt,Lexington,0,0,5,2,125,38.00154,-84.522606,Charming Townhome/Condo 
9017859,Entire home/apt,Lexington,18,5,6,3,100,38.001891,-84.512916,Spacious ranch minutes to downtown
28869366,Private room,Lexington,0,0,2,1,30,38.002532,-84.576706,Private guestroom in best and safe school district
92967606,Private room,Lexington,2,0,2,1,49,38.002749,-84.475198,Anahata's Air BnB
5649643,Private room,Lexington,102,5,3,1,60,38.00348,-84.510934,Private suite in walkout basement
13455654,Entire home/apt,Lexington,8,5,5,2,95,38.004271,-84.511256,"Cozy remodeled, two bedroom ranch 1mi south of UK"
37669420,Entire home/apt,Lexington,0,0,4,3,499,38.004522,-84.526464,2 Bedroom B&B  for Breeder's Cup
46158167,Entire home/apt,Lexington,0,0,8,4,1000,38.004874,-84.412704,Model House on Golf Course!
97691777,Entire home/apt,Lexington,16,5,4,2,70,38.005265,-84.432025,Spacious Townhouse Near Hamburg and I-75
46310032,Private room,Lexington,0,0,4,1,250,38.005448,-84.417625,Bottom floor entire space.
25412365,Private room,Lexington,24,5,2,1,75,38.005646,-84.577042,Country Comfort Close to Town
36660970,Entire home/apt,Lexington,1,0,2,1,110,38.006065,-84.567832,Relaxing One Bedroom Apartment
26121886,Entire home/apt,Lexington,0,0,6,3,600,38.006646,-84.489394,Great Chevy Chase Location
34567786,Private room,Lexington,0,0,1,1,25,38.006779,-84.488665,Blue Hall Bed Room/Townhouse on Alumni
76773230,Entire home/apt,Lexington,12,5,4,1,55,38.006793,-84.422052,Cozy and modern 1 bedroom apartment
6542407,Private room,Lexington,33,5,2,1,53,38.007102,-84.487885,Stylish Townhouse // Central Location -- Prv. Room
63141058,Private room,Lexington,0,0,2,1,40,38.007889,-84.406273,Cozy bedroom in a great location!
8556391,Entire home/apt,Lexington,82,5,4,1,70,38.007997,-84.530209,Tiny house with loft bed & Sauna!
25774580,Entire home/apt,Lexington,0,0,12,5,1450,38.008041,-84.576759,"5,000 Square Foot Home with Hot tub"
34776451,Entire home/apt,Lexington,0,0,4,2,950,38.008083,-84.557886,3.5 Miles to Keeneland and Airport
38671447,Entire home/apt,Lexington,0,0,4,2,1000,38.008168,-84.491497,Spacious Town Home
8556391,Private room,Lexington,114,5,3,1,40,38.00825,-84.529676,Cozy full size Temperpedic mattress
8556391,Entire home/apt,Lexington,48,5,4,1,65,38.008685,-84.530485,Garden Apartment w/Soaking Tub
70494110,Entire home/apt,Lexington,4,5,6,3,160,38.009212,-84.491487,"3 bedroom home, central location. Close to UK."
14635605,Entire home/apt,Lexington,5,5,10,5,750,38.009255,-84.568916,Unique home- 3 miles from Keeneland
3860375,Private room,Lexington,51,5,2,1,53,38.009374,-84.493273,Cozy suite on lovely quiet street
67594835,Entire home/apt,Lexington,6,5,6,3,120,38.009377,-84.470808,Townhome on the Lake in the City!
46563666,Entire home/apt,Lexington,0,0,6,3,700,38.009995,-84.471285,Great Condo For Breeders Cup Week
45218158,Entire home/apt,Lexington,7,5,5,3,95,38.010776,-84.502705,Lower Level Home/Private Entrance
43194307,Entire home/apt,Lexington,4,5,6,3,475,38.011318,-84.474601,Manor Estate
47110817,Entire home/apt,Lexington,0,0,4,2,145,38.011335,-84.422512,2BR/2BA Less Than a Mile from Hamburg Pavilion!
26319724,Entire home/apt,Lexington,0,0,14,6,1200,38.011776,-84.381655,Lexington Luxury Home - YOLO - You Deserve This!
10508733,Entire home/apt,Lexington,0,0,4,3,250,38.012312,-84.474807,Lovely Farmhouse Ranch Home
109259901,Entire home/apt,Lexington,0,0,8,4,500,38.012853,-84.384714,Walnut Grove Estate Home
37241208,Entire home/apt,Lexington,0,0,10,5,2000,38.013616,-84.560599,10 Min to Breeders Cup sleeps 10
24297222,Entire home/apt,Lexington,4,4.5,12,6,750,38.014328,-84.565216,Spacious home near Keeneland
46811591,Entire home/apt,Lexington,9,4.5,6,3,200,38.014628,-84.399805,Perfect Keeneland Bluegrass Getaway
105147433,Entire home/apt,Lexington,0,0,6,3,125,38.014694,-84.516975,Comfortable Home Near UK and Rupp Arena
48807876,Entire home/apt,Lexington,41,4.5,6,3,125,38.014726,-84.516276,Cozy Cottage Near UK
36439986,Entire home/apt,Lexington,0,0,3,1,115,38.015357,-84.529998,"Art-filled home, huge back yard"
107190018,Private room,Lexington,0,0,4,2,50,38.016125,-84.395935,Private Room in Hamburg
23078807,Private room,Lexington,1,0,2,1,90,38.016257,-84.559276,Private bedroom + bathroom
49729589,Entire home/apt,Lexington,0,0,16,10,149,38.016697,-84.444789,"Lexington, KY and Louisville, KY"
40604215,Entire home/apt,Lexington,0,0,6,3,700,38.01673,-84.517799,Extremely Nice and Elegant Property
45936829,Entire home/apt,Lexington,0,0,6,3,399,38.016787,-84.39765,Breeders Cup *Unique Offer* - I75
50386131,Private room,Lexington,0,0,2,1,80,38.016869,-84.452674,cozy bed at Richmond
12163295,Entire home/apt,Lexington,7,4,2,1,90,38.017123,-84.516153,High-rise luxury condo
19163070,Entire home/apt,Lexington,21,4.5,6,3,145,38.017564,-84.438966,"3BR, 2BA Home in Lexington, KY"
45321047,Entire home/apt,Lexington,0,0,8,4,1000,38.018283,-84.559776,New 2015 Townhome - near Keeneland!
19525620,Entire home/apt,Lexington,2,0,4,2,95,38.018466,-84.517861,Historic bungalow walking distance to UK/Arboretum
868897,Entire home/apt,Lexington,55,5,4,2,95,38.018785,-84.47244,WINTER SALE: Luxury + Style Near All - Large 2/2
36815354,Entire home/apt,Lexington,0,0,4,1,100,38.01979,-84.371315,Best of Both Worlds!
44281094,Entire home/apt,Lexington,0,0,4,2,500,38.019891,-84.53102,Charming Home - 6 miles to Keenland
21991626,Private room,Lexington,18,4.5,2,1,39,38.02077,-84.405784,Mi Casa su Castle.
35439197,Private room,Lexington,0,0,2,1,25,38.021324,-84.467327,Guest Room Near UK/Downtown Lexington
38193245,Entire home/apt,Lexington,0,0,6,2,150,38.021409,-84.529779,Beautiful Home near UK & Keeneland
39349491,Entire home/apt,Lexington,6,5,8,3,300,38.022305,-84.496796,Charming colonial close to downtown
38106937,Private room,Lexington,26,4,2,1,30,38.02234,-84.512962,Coachlight Woods Townhome
10891998,Entire home/apt,Lexington,1,0,10,4,850,38.022493,-84.491827,Beautiful Chevy Chase Home
47500096,Private room,Lexington,0,0,2,1,495,38.022709,-84.382233,One of a kind Luxury Bedroom Suite
45649720,Entire home/apt,Lexington,0,0,6,2,500,38.022987,-84.427224,Beautiful Townhome for Breeders Cup
2048604,Entire home/apt,Lexington,42,5,4,2,64,38.023292,-84.509363,Entire 2nd floor close to UK campus
