HOST_ID,TYPE,CITY,REVIEWS,RATING,GUESTS,ROOMS,PRICE,NUM_LIST,MULT_LIST,LAT,LONG,NAME
8675900,Private room,Lexington,3,5,2,1,75,3,Yes,38.057726,-84.492177,Bourbon Trail Historic Luxury 2
8675900,Private room,Lexington,4,5,3,1,75,3,Yes,38.058281,-84.490515,Bourbon Trail Historic Luxury 3
8675900,Private room,Lexington,11,5,2,1,75,3,Yes,38.058872,-84.491773,Bourbon Trail Historic Luxury 1
9017859,Entire home/apt,Lexington,18,5,6,3,100,1,No,38.001891,-84.512916,Spacious ranch minutes to downtown
9195018,Private room,Lexington,23,5,2,1,58,1,No,38.050735,-84.484529,100 year old downtown room
9419025,Entire home/apt,Lexington,13,4.5,4,2,150,1,No,38.051673,-84.503014,Downtown Lexington 2 Bed Condo
9841308,Entire home/apt,Lexington,27,5,4,2,150,1,No,38.033372,-84.473855,"The Lexington ""Cabin"""
9983682,Entire home/apt,Lexington,76,5,16,4,140,2,Yes,37.985245,-84.582735,Your Home Away from Home
9983682,Entire home/apt,Lexington,0,0,6,1,140,2,Yes,38.042055,-84.436677,Lake/TownHouse: Upscale Traquility Near Everything
10282269,Entire home/apt,Paris,2,0,4,2,150,2,Yes,38.139211,-84.33915,Wickliffe
10282269,Entire home/apt,Paris,0,0,4,2,225,2,Yes,38.139383,-84.341091,Limerick
10350531,Entire home/apt,Lexington,4,5,7,2,225,1,No,37.987621,-84.488787,Updated Family Home
10508733,Entire home/apt,Lexington,0,0,4,3,250,1,No,38.012312,-84.474807,Lovely Farmhouse Ranch Home
10831157,Entire home/apt,Lexington,76,5,2,1,99,1,No,38.042344,-84.49439,Lexington Downtown Modern Apartment
10891998,Entire home/apt,Lexington,1,0,10,4,850,1,No,38.022493,-84.491827,Beautiful Chevy Chase Home
10995081,Entire home/apt,Lexington,30,5,8,4,500,2,Yes,38.053038,-84.496952,Gorgeous Downtown Lexington Mansion
10995081,Entire home/apt,Lexington,21,4.5,5,2,160,2,Yes,38.056508,-84.499843,Renovated Downtown Apartment
11039156,Entire home/apt,Versailles,17,5,10,4,299,1,No,38.055774,-84.656083,15 Pisgah Station/Horse Farm Haven
11297619,Entire home/apt,Lexington,20,4.5,5,2,110,1,No,38.029571,-84.448274,"House on Fortune Hill 2bd, 2.5bth"
11913760,Entire home/apt,Nicholasville,54,4.5,6,2,59,6,Yes,37.859183,-84.592899,Our Motel Beater
11913760,Entire home/apt,Nicholasville,46,4.5,7,2,59,6,Yes,37.859225,-84.593762,Ground Floor Comforts of Home
11913760,Entire home/apt,Nicholasville,53,4.5,7,2,59,6,Yes,37.859628,-84.592128,Comforts of home less than a motel
11913760,Entire home/apt,Nicholasville,8,5,7,2,59,6,Yes,37.861532,-84.593482,Our Money Saver
11913760,Entire home/apt,Nicholasville,30,4.5,12,3,78,6,Yes,37.896143,-84.561139,Cozy Home Convenient to Lexington
11913760,Entire home/apt,Nicholasville,16,5,7,3,82,6,Yes,37.897192,-84.560774,Our Kentucky Home
12163295,Entire home/apt,Lexington,7,4,2,1,90,1,No,38.017123,-84.516153,High-rise luxury condo
12801464,Entire home/apt,Lexington,17,4.5,2,1,114,1,No,37.971394,-84.521009,Furnished 1BD Apt: South Lexington
12873315,Entire home/apt,Lexington,0,0,4,2,400,1,No,38.025879,-84.483817,Quaint duplex near Chevy Chase
